id,name,make_id,start_year,end_year,vehicle_type_id
51,Vitz,1,,,1
52,Axio,1,,,1
53,Aqua,1,,,1
54,Land Cruiser Prado,1,,,2
55,Premio,1,,,1
56,Corolla,1,,,1
57,Hilux,1,,,2
58,CHR,1,,,2
59,Allion,1,,,1
60,Prius,1,,,1
61,Land Cruiser Sahara,1,,,2
62,Passo,1,,,1
63,Harrier,1,,,2
65,Raize,1,,,2
66,Starlet,1,,,1
67,Carina,1,,,1
68,Fortuner,1,,,2
69,Belta,1,,,1
70,Sprinter,1,,,1
71,Corona,1,,,1
72,Vios,1,,,1
73,Rush,1,,,2
74,Corsa,1,,,1
75,IST,1,,,1
76,Yaris,1,,,1
77,Camry,1,,,1
78,RAV4,1,,,2
79,Pixis,1,,,1
80,Voxy,1,,,4
81,Wigo,1,,,1
82,Cami,1,,,2
83,Crown,1,,,1
84,Soluna,1,,,1
85,Tercel,1,,,1
86,Verossa,1,,,1
87,Auris,1,,,1
88,Avanza,1,,,4
89,Caldina,1,,,1
90,Cynos,1,,,1
91,Mark,1,,,1
92,Roomy,1,,,1
93,Tank,1,,,1
94,4Runner,1,,,2
95,Classic,1,,,1
96,Duet,1,,,1
97,GT86,1,,,1
98,Platz,1,,,1
99,SAI,1,,,1
100,Maruti,2,,,1
101,Alto,2,,,1
102,Swift,2,,,1
103,Wagon R Stingray,2,,,1
104,Wagon R,2,,,1
105,Celerio,2,,,1
106,Wagon R FZ,2,,,1
107,Spacia,2,,,1
108,Wagon R FX,2,,,1
109,Baleno,2,,,1
110,Hustler,2,,,1
111,A-Star,2,,,1
112,Estilo,2,,,1
113,Grand Vitara,2,,,2
114,Vitara,2,,,2
115,Escudo,2,,,2
116,Liana,2,,,1
117,SX4,2,,,1
118,XBee,2,,,1
119,Jimny,2,,,2
120,Zen,2,,,1
121,Cultus,2,,,1
122,Ertiga,2,,,4
123,Esteem,2,,,1
124,S-Cross,2,,,2
125,Vezel,3,,,2
126,Fit,3,,,1
127,Civic,3,,,1
128,CRV,3,,,2
129,Grace,3,,,1
130,Fit Shuttle,3,,,1
131,Insight,3,,,1
132,N-Box,3,,,1
133,City,3,,,1
134,N-WGN,3,,,1
135,Fit Aria,3,,,1
136,S660,3,,,5
137,Accord,3,,,1
138,Freed,3,,,4
139,HR-V,3,,,2
140,Jade,3,,,4
141,Sunny,4,,,1
142,March,4,,,1
143,X-Trail,4,,,2
144,Navara,4,,,3
145,Bluebird,4,,,1
